GroupName,UserID,UserPassword
Group1,user_1_1,password
Group1,user_1_2,password
Group1,user_1_3,password
Group1,user_1_4,password
Group1,user_1_5,password
Group2,user_2_1,password
Group2,user_2_2,password
Group2,user_2_3,password
Group2,user_2_4,password
Group2,user_2_5,password
Group3,user_3_1,password
Group3,user_3_2,password
Group3,user_3_3,password
Group3,user_3_4,password
Group3,user_3_5,password
Group4,user_4_1,password
Group4,user_4_2,password
Group4,user_4_3,password
Group4,user_4_4,password
Group4,user_4_5,password
Group5,user_5_1,password
Group5,user_5_2,password
Group5,user_5_3,password
Group5,user_5_4,password
Group5,user_5_5,password
Group6,user_6_1,password
Group6,user_6_2,password
Group6,user_6_3,password
Group6,user_6_4,password
Group6,user_6_5,password
Group7,user_7_1,password
Group7,user_7_2,password
Group7,user_7_3,password
Group7,user_7_4,password
Group7,user_7_5,password
Group8,user_8_1,password
Group8,user_8_2,password
Group8,user_8_3,password
Group8,user_8_4,password
Group8,user_8_5,password
Group9,user_9_1,password
Group9,user_9_2,password
Group9,user_9_3,password
Group9,user_9_4,password
Group9,user_9_5,password
Group10,user_10_1,password
Group10,user_10_2,password
Group10,user_10_3,password
Group10,user_10_4,password
Group10,user_10_5,password
Group11,user_11_1,password
Group11,user_11_2,password
Group11,user_11_3,password
Group11,user_11_4,password
Group11,user_11_5,password
Group12,user_12_1,password
Group12,user_12_2,password
Group12,user_12_3,password
Group12,user_12_4,password
Group12,user_12_5,password
Group13,user_13_1,password
Group13,user_13_2,password
Group13,user_13_3,password
Group13,user_13_4,password
Group13,user_13_5,password
Group14,user_14_1,password
Group14,user_14_2,password
Group14,user_14_3,password
Group14,user_14_4,password
Group14,user_14_5,password
Group15,user_15_1,password
Group15,user_15_2,password
Group15,user_15_3,password
Group15,user_15_4,password
Group15,user_15_5,password
Group16,user_16_1,password
Group16,user_16_2,password
Group16,user_16_3,password
Group16,user_16_4,password
Group16,user_16_5,password
Group17,user_17_1,password
Group17,user_17_2,password
Group17,user_17_3,password
Group17,user_17_4,password
Group17,user_17_5,password
Group18,user_18_1,password
Group18,user_18_2,password
Group18,user_18_3,password
Group18,user_18_4,password
Group18,user_18_5,password
Group19,user_19_1,password
Group19,user_19_2,password
Group19,user_19_3,password
Group19,user_19_4,password
Group19,user_19_5,password
Group20,user_20_1,password
Group20,user_20_2,password
Group20,user_20_3,password
Group20,user_20_4,password
Group20,user_20_5,password
